ÇinTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
2.1,61.1,18.67,68.08,DoorCLOSED,PowerON,149.75,CompressorON,0.23,Wednesday 01.01.2025 -- 00:00:00,0
2.87,48.15,23.37,75.42,DoorCLOSED,PowerON,157.76,CompressorON,0.24,Wednesday 01.01.2025 -- 00:00:05,0
3.62,78.36,25.65,67.06,DoorOPEN,PowerON,130.46,CompressorON,0.41,Wednesday 01.01.2025 -- 00:00:10,0
9.32,75.27,32.7,74.33,DoorCLOSED,PowerON,197.39,CompressorON,0.97,Wednesday 01.01.2025 -- 00:00:15,1
4.05,73.88,20.95,62.78,DoorCLOSED,PowerON,102.49,CompressorON,0.07,Wednesday 01.01.2025 -- 00:00:20,0
4.68,56.62,21.8,56.79,DoorCLOSED,PowerON,39.83,CompressorOFF,0.06,Wednesday 01.01.2025 -- 00:00:25,0
2.61,56.22,20.28,53.44,DoorCLOSED,PowerON,121.21,CompressorON,0.02,Wednesday 01.01.2025 -- 00:00:30,0
5.46,70.09,25.26,74.37,DoorCLOSED,PowerON,33.47,CompressorOFF,0.2,Wednesday 01.01.2025 -- 00:00:35,0
3.59,48.24,31.93,57.95,DoorCLOSED,PowerON,109.7,CompressorON,0.41,Wednesday 01.01.2025 -- 00:00:40,0
4.05,49.93,27.49,81.38,DoorCLOSED,PowerON,93.78,CompressorON,0.14,Wednesday 01.01.2025 -- 00:00:45,0
2.35,70.25,28.99,64.61,DoorCLOSED,PowerON,224.51,CompressorON,0.07,Wednesday 01.01.2025 -- 00:00:50,0
5.42,56.79,28.91,59.64,DoorCLOSED,PowerON,46.52,CompressorOFF,0.22,Wednesday 01.01.2025 -- 00:00:55,0
2.03,69.08,30.09,53.76,DoorCLOSED,PowerON,99.8,CompressorON,0.15,Wednesday 01.01.2025 -- 00:01:00,0
2.87,70.59,25.47,57.13,DoorCLOSED,PowerON,93.21,CompressorON,0.86,Wednesday 01.01.2025 -- 00:01:05,0
3.69,65.92,20.07,80.74,DoorCLOSED,PowerON,23.04,CompressorOFF,0.03,Wednesday 01.01.2025 -- 00:01:10,0
2.92,59.87,21.39,71.13,DoorCLOSED,PowerON,112.95,CompressorON,0.22,Wednesday 01.01.2025 -- 00:01:15,0
10.47,90.87,25.74,60.63,DoorOPEN,PowerON,229.34,CompressorON,0.87,Wednesday 01.01.2025 -- 00:01:20,1
4.18,47.44,20.22,56.06,DoorCLOSED,PowerON,158.09,CompressorON,0.27,Wednesday 01.01.2025 -- 00:01:25,0
5.11,67.84,31.56,87.8,DoorCLOSED,PowerON,43.12,CompressorOFF,0.28,Wednesday 01.01.2025 -- 00:01:30,0
3.2,58.24,21.93,53.4,DoorCLOSED,PowerON,55.9,CompressorOFF,0.36,Wednesday 01.01.2025 -- 00:01:35,0
2.45,61.43,27.96,54.14,DoorCLOSED,PowerON,94.21,CompressorON,0.28,Wednesday 01.01.2025 -- 00:01:40,0
5.56,63.24,25.42,84.59,DoorOPEN,PowerON,143.44,CompressorON,0.2,Wednesday 01.01.2025 -- 00:01:45,0
4.38,49.19,20.91,64.42,DoorCLOSED,PowerON,54.82,CompressorOFF,0.44,Wednesday 01.01.2025 -- 00:01:50,0
2.18,69.01,21.19,83.97,DoorCLOSED,PowerON,109.42,CompressorON,0.33,Wednesday 01.01.2025 -- 00:01:55,0
3.32,69.38,20.86,82.84,DoorCLOSED,PowerON,113.62,CompressorON,0.11,Wednesday 01.01.2025 -- 00:02:00,0
2.21,58.61,24.15,61.54,DoorCLOSED,PowerON,127.7,CompressorON,0.19,Wednesday 01.01.2025 -- 00:02:05,0
3.33,71.42,19.89,63.92,DoorCLOSED,PowerON,28.7,CompressorOFF,0.39,Wednesday 01.01.2025 -- 00:02:10,0
1.94,64.85,23.43,69.12,DoorCLOSED,PowerON,100.86,CompressorON,0.41,Wednesday 01.01.2025 -- 00:02:15,0
5.05,61.71,23.09,88.79,DoorCLOSED,PowerON,52.15,CompressorOFF,0.42,Wednesday 01.01.2025 -- 00:02:20,0
10.94,90.92,34.54,65.65,DoorCLOSED,PowerON,246.4,CompressorOFF,1.0,Wednesday 01.01.2025 -- 00:02:25,1
7.9,87.09,34.3,77.87,DoorCLOSED,PowerON,210.86,CompressorON,1.32,Wednesday 01.01.2025 -- 00:02:30,1
9.57,75.25,27.07,81.74,DoorOPEN,PowerON,254.09,CompressorON,1.32,Wednesday 01.01.2025 -- 00:02:35,1
8.94,79.72,33.39,71.56,DoorCLOSED,PowerON,233.85,CompressorOFF,1.07,Wednesday 01.01.2025 -- 00:02:40,1
3.38,68.87,29.0,67.03,DoorCLOSED,PowerON,42.41,CompressorOFF,0.05,Wednesday 01.01.2025 -- 00:02:45,0
2.81,66.8,22.78,54.72,DoorCLOSED,PowerON,90.93,CompressorON,0.08,Wednesday 01.01.2025 -- 00:02:50,0
3.01,64.73,20.79,57.21,DoorCLOSED,PowerON,57.15,CompressorOFF,0.33,Wednesday 01.01.2025 -- 00:02:55,0
3.61,64.31,27.18,68.15,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.27,Wednesday 01.01.2025 -- 00:03:00,0
4.29,57.36,23.11,87.12,DoorCLOSED,PowerON,36.74,CompressorOFF,0.09,Wednesday 01.01.2025 -- 00:03:05,0
4.94,45.3,23.59,55.55,DoorCLOSED,PowerON,59.57,CompressorOFF,0.38,Wednesday 01.01.2025 -- 00:03:10,0
4.15,69.3,21.66,57.36,DoorCLOSED,PowerON,59.84,CompressorOFF,0.06,Wednesday 01.01.2025 -- 00:03:15,0
5.36,59.25,23.93,63.48,DoorCLOSED,PowerON,55.15,CompressorOFF,0.4,Wednesday 01.01.2025 -- 00:03:20,0
4.57,82.28,28.33,50.56,DoorOPEN,PowerON,115.87,CompressorON,0.14,Wednesday 01.01.2025 -- 00:03:25,0
8.93,87.91,30.24,61.45,DoorCLOSED,PowerON,251.29,CompressorOFF,1.27,Wednesday 01.01.2025 -- 00:03:30,1
5.27,55.27,24.59,66.24,DoorCLOSED,PowerON,38.37,CompressorOFF,0.14,Wednesday 01.01.2025 -- 00:03:35,0
2.41,63.22,18.49,60.7,DoorCLOSED,PowerON,99.57,CompressorON,0.27,Wednesday 01.01.2025 -- 00:03:40,0
4.87,52.92,19.36,89.41,DoorCLOSED,PowerON,43.75,CompressorOFF,0.35,Wednesday 01.01.2025 -- 00:03:45,0
4.09,68.0,22.51,75.94,DoorCLOSED,PowerON,94.04,CompressorON,0.35,Wednesday 01.01.2025 -- 00:03:50,0
1.84,61.57,28.66,84.15,DoorCLOSED,PowerON,185.8,CompressorON,0.25,Wednesday 01.01.2025 -- 00:03:55,0
3.1,59.85,22.91,64.15,DoorCLOSED,PowerON,115.95,CompressorON,0.35,Wednesday 01.01.2025 -- 00:04:00,0
3.96,69.66,21.29,75.87,DoorCLOSED,PowerON,25.87,CompressorOFF,0.21,Wednesday 01.01.2025 -- 00:04:05,0
3.61,48.38,21.97,53.47,DoorCLOSED,PowerON,122.7,CompressorON,0.19,Wednesday 01.01.2025 -- 00:04:10,0
3.18,73.31,23.42,80.22,DoorCLOSED,PowerON,39.23,CompressorOFF,0.44,Wednesday 01.01.2025 -- 00:04:15,0
5.03,69.05,19.15,69.31,DoorCLOSED,PowerON,31.83,CompressorOFF,0.04,Wednesday 01.01.2025 -- 00:04:20,0
3.82,82.08,21.78,73.18,DoorOPEN,PowerON,147.85,CompressorON,0.38,Wednesday 01.01.2025 -- 00:04:25,0
10.93,78.91,25.14,63.97,DoorCLOSED,PowerON,205.79,CompressorOFF,1.08,Wednesday 01.01.2025 -- 00:04:30,1
11.96,82.47,29.15,94.45,DoorCLOSED,PowerON,226.9,CompressorON,0.89,Wednesday 01.01.2025 -- 00:04:35,1
4.59,58.5,27.13,76.19,DoorCLOSED,PowerON,20.75,CompressorOFF,0.16,Wednesday 01.01.2025 -- 00:04:40,0
10.49,89.41,28.01,79.74,DoorCLOSED,PowerON,225.74,CompressorON,1.35,Wednesday 01.01.2025 -- 00:04:45,1
4.13,58.63,26.43,55.33,DoorCLOSED,PowerON,119.82,CompressorON,0.02,Wednesday 01.01.2025 -- 00:04:50,0
2.33,64.16,24.94,60.07,DoorCLOSED,PowerON,97.83,CompressorON,0.33,Wednesday 01.01.2025 -- 00:04:55,0
5.48,63.13,26.06,61.02,DoorOPEN,PowerON,99.96,CompressorON,0.99,Wednesday 01.01.2025 -- 00:05:00,0
7.43,65.76,18.95,65.75,DoorCLOSED,PowerON,112.34,CompressorON,0.31,Wednesday 01.01.2025 -- 00:05:05,0
2.89,46.99,24.85,73.75,DoorCLOSED,PowerON,96.65,CompressorON,0.32,Wednesday 01.01.2025 -- 00:05:10,0
3.78,60.71,30.9,77.58,DoorCLOSED,PowerON,97.24,CompressorON,0.06,Wednesday 01.01.2025 -- 00:05:15,0
4.77,56.3,22.63,72.9,DoorCLOSED,PowerON,24.5,CompressorOFF,0.14,Wednesday 01.01.2025 -- 00:05:20,0
4.68,46.97,22.99,69.07,DoorCLOSED,PowerON,43.7,CompressorOFF,0.39,Wednesday 01.01.2025 -- 00:05:25,0
7.96,90.57,25.17,78.75,DoorCLOSED,PowerON,215.08,CompressorOFF,0.98,Wednesday 01.01.2025 -- 00:05:30,1
11.15,80.97,29.57,87.57,DoorCLOSED,PowerON,193.55,CompressorOFF,1.59,Wednesday 01.01.2025 -- 00:05:35,1
3.72,49.54,21.6,77.63,DoorCLOSED,PowerON,145.62,CompressorON,0.34,Wednesday 01.01.2025 -- 00:05:40,0
3.37,64.51,23.78,85.52,DoorCLOSED,PowerON,118.36,CompressorON,0.42,Wednesday 01.01.2025 -- 00:05:45,0
3.06,71.23,26.17,56.67,DoorCLOSED,PowerON,148.97,CompressorON,0.33,Wednesday 01.01.2025 -- 00:05:50,0
