inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
5.36,47.28,25.06,51.36,DoorCLOSED,PowerON,53.59,CompressorOFF,0.33,Wednesday 15.01.2025 -- 00:00:00,0
3.05,58.89,24.23,81.66,DoorCLOSED,PowerON,57.9,CompressorOFF,0.04,Wednesday 15.01.2025 -- 00:00:05,0
4.45,51.83,25.19,70.78,DoorCLOSED,PowerON,47.28,CompressorOFF,0.15,Wednesday 15.01.2025 -- 00:00:10,0
6.85,59.54,21.49,64.92,DoorCLOSED,PowerON,114.62,CompressorON,0.04,Wednesday 15.01.2025 -- 00:00:15,0
1.9,73.49,23.6,66.32,DoorCLOSED,PowerON,122.44,CompressorON,0.1,Wednesday 15.01.2025 -- 00:00:20,0
3.95,80.23,19.32,75.53,DoorOPEN,PowerON,129.16,CompressorON,0.44,Wednesday 15.01.2025 -- 00:00:25,0
11.03,80.55,31.08,82.48,DoorOPEN,PowerON,217.39,CompressorON,1.5,Wednesday 15.01.2025 -- 00:00:30,1
4.87,61.48,20.11,65.34,DoorCLOSED,PowerON,23.09,CompressorOFF,0.45,Wednesday 15.01.2025 -- 00:00:35,0
4.7,49.47,20.19,67.55,DoorCLOSED,PowerON,56.47,CompressorOFF,0.11,Wednesday 15.01.2025 -- 00:00:40,0
2.97,53.06,27.63,65.59,DoorCLOSED,PowerON,114.61,CompressorON,0.26,Wednesday 15.01.2025 -- 00:00:45,0
2.06,67.4,22.38,75.61,DoorCLOSED,PowerON,137.65,CompressorON,0.25,Wednesday 15.01.2025 -- 00:00:50,0
5.12,62.24,31.11,74.07,DoorCLOSED,PowerON,39.01,CompressorOFF,0.37,Wednesday 15.01.2025 -- 00:00:55,0
5.12,63.71,27.21,52.84,DoorCLOSED,PowerON,42.03,CompressorOFF,0.03,Wednesday 15.01.2025 -- 00:01:00,0
7.48,90.89,25.21,69.6,DoorCLOSED,PowerON,204.07,CompressorOFF,1.57,Wednesday 15.01.2025 -- 00:01:05,1
3.69,46.24,30.16,69.21,DoorCLOSED,PowerON,95.6,CompressorON,0.03,Wednesday 15.01.2025 -- 00:01:10,0
3.87,49.41,30.07,69.21,DoorCLOSED,PowerON,37.49,CompressorOFF,0.43,Wednesday 15.01.2025 -- 00:01:15,0
2.04,65.52,25.65,55.54,DoorCLOSED,PowerON,151.66,CompressorON,0.3,Wednesday 15.01.2025 -- 00:01:20,0
5.01,56.81,28.81,70.88,DoorCLOSED,PowerON,22.11,CompressorOFF,0.34,Wednesday 15.01.2025 -- 00:01:25,0
4.71,59.14,30.06,84.25,DoorCLOSED,PowerON,51.63,CompressorOFF,0.22,Wednesday 15.01.2025 -- 00:01:30,0
4.53,56.33,26.61,83.93,DoorCLOSED,PowerON,32.32,CompressorOFF,0.24,Wednesday 15.01.2025 -- 00:01:35,0
